Date,CO,NO1,NO2,O3,SO2
2013-01-16 15:00:00,17.7885742,155.282547,1.2,12.0233965,4.64396143
2013-01-16 16:00:00,17.7885742,155.282547,1.1,12.0233965,4.64396143
2013-01-16 17:00:00,17.7885742,155.282547,1.4,12.0233965,4.64396143
2013-01-16 18:00:00,17.7885742,155.282547,3.0,12.0233965,4.64396143
2013-01-16 19:00:00,17.7885742,155.282547,5.2,12.0233965,4.64396143
2013-01-16 20:00:00,17.7885742,155.282547,6.4,12.0233965,4.64396143
2013-01-16 21:00:00,17.7885742,155.282547,4.5,12.0233965,4.64396143
2013-01-16 22:00:00,17.7885742,155.282547,5.6,12.0233965,4.64396143
2013-01-17 15:00:00,17.7885742,155.282547,0.9,12.0233965,4.64396143
2013-01-17 16:00:00,17.7885742,155.282547,0.9,12.0233965,4.64396143
2013-01-17 17:00:00,17.7885742,155.282547,0.7,12.0233965,4.64396143
2013-01-17 18:00:00,17.7885742,155.282547,1.1,12.0233965,4.64396143
2013-01-17 19:00:00,17.7885742,155.282547,1.5,12.0233965,4.64396143
2013-01-17 20:00:00,17.7885742,155.282547,1.0,12.0233965,4.64396143
2013-01-17 21:00:00,17.7885742,155.282547,1.0,12.0233965,4.64396143
2013-01-18 00:00:00,17.7885742,155.282547,0.4,12.0233965,4.64396143
2013-01-18 01:00:00,17.7885742,155.282547,0.1,12.0233965,4.64396143
2013-01-18 02:00:00,17.7885742,155.282547,0.2,12.0233965,4.64396143
2013-01-18 11:00:00,17.7885742,155.282547,1.6,12.0233965,4.64396143
2013-01-18 12:00:00,17.7885742,155.282547,1.9,12.0233965,4.64396143
2013-01-18 13:00:00,17.7885742,155.282547,1.3,12.0233965,4.64396143
2013-01-18 14:00:00,17.7885742,155.282547,1.1,12.0233965,4.64396143
2013-01-18 15:00:00,17.7885742,155.282547,1.0,12.0233965,4.64396143
2013-01-18 16:00:00,17.7885742,155.282547,0.4,12.0233965,4.64396143
2013-01-18 17:00:00,39.0644531,63.0742188,0.9,21.293457,0.37742615
2013-01-18 18:00:00,42.7431641,51.3354492,1.4,24.4886074,1.79547119
2013-01-18 19:00:00,65.4352188,38.5997734,1.9,25.4718418,3.78387451
2013-01-18 20:00:00,69.453125,43.2231445,2.3,27.4458008,2.44946289
2013-01-18 21:00:00,75.3613281,47.6552734,2.3,30.8665371,3.36838794
2013-01-18 22:00:00,92.6660156,37.6591797,2.4,108.15625,3.43267822
2013-01-18 23:00:00,97.2314453,39.1832695,2.4,190.834641,7.54618311
2013-01-22 04:00:00,74.3235703,53.4947929,0.8,56.9036446,9.0111084
2013-01-22 05:00:00,72.7369766,47.9736328,1.3,58.0908203,7.00531006
2013-01-22 06:00:00,82.7685547,61.8164063,1.7,59.4296875,20.6101074
2013-01-22 13:00:00,20.2666836,149.515625,1.1,15.6743164,14.8526611
2013-01-22 14:00:00,14.5404053,147.912766,0.8,15.2466631,7.88016748
2013-01-22 15:00:00,20.2026367,141.212891,0.6,19.2312012,7.32751465
2013-01-22 16:00:00,20.2520752,152.970047,1.2,20.7945957,8.84899902
2013-01-22 17:00:00,18.6526699,154.757813,0.8,19.8168945,7.84517431
2013-01-22 18:00:00,44.4736328,124.078125,1.2,22.8849277,7.19995117
2013-01-22 19:00:00,107.777344,73.4876328,3.4,32.5068359,7.69930029
2013-01-22 20:00:00,146.755203,57.6367188,4.8,210.642578,3.5357666
2013-01-23 02:00:00,124.701172,54.0205078,4.9,364.820313,2.90612793
2013-01-23 03:00:00,159.417969,64.7470703,2.6,387.429688,4.6842041
2013-01-23 04:00:00,128.255859,55.0540352,1.9,387.429688,7.26855469
2013-01-23 05:00:00,105.548828,59.2519531,2.6,387.429688,6.91003418
2013-01-23 06:00:00,100.241211,64.2543945,3.5,387.429688,8.4230957
2013-01-23 07:00:00,107.945313,60.7604179,4.2,387.429688,13.2607422
2013-01-23 08:00:00,111.820961,57.1538086,4.0,193.4375,11.1300459
2013-01-23 09:00:00,112.345055,64.4794922,3.7,60.9453125,13.9604492
2013-01-23 10:00:00,94.8691406,90.1171875,4.4,41.7760429,29.7563477
2013-01-23 11:00:00,59.2574883,124.383461,2.9,20.8190918,16.3100586
2013-01-23 12:00:00,25.3870449,138.5625,3.6,13.5266924,13.5102539
2013-01-23 13:00:00,18.9295654,153.558594,4.2,14.5622559,9.96321583
2013-01-23 14:00:00,17.9187832,163.416016,0.9,16.5749512,8.57324219
2013-01-23 15:00:00,19.1086426,144.121094,0.7,22.1844082,7.42675781
2013-01-23 16:00:00,34.2011719,141.794266,0.6,22.5070801,6.60310888
2013-01-23 17:00:00,46.2653809,118.387695,0.8,28.4375,12.4348145
2013-01-23 18:00:00,77.6806641,90.649086,2.0,31.8837891,10.8193769
2013-01-23 20:00:00,122.626953,68.1432266,4.5,54.328125,7.0168457
2013-01-23 21:00:00,130.914063,62.2272148,5.5,89.2825546,9.61401367
