,O3,Date
100,7.9,2015-01-11 05:00:00
101,2.6,2015-01-11 06:00:00
102,7.1,2015-01-11 07:00:00
103,8.8,2015-01-11 08:00:00
104,12.6,2015-01-11 09:00:00
105,13.5,2015-01-11 10:00:00
106,19.3,2015-01-11 11:00:00
107,,2015-01-11 12:00:00
108,51.4,2015-01-11 13:00:00
109,55.7,2015-01-11 14:00:00
110,71.1,2015-01-11 15:00:00
111,58.9,2015-01-11 16:00:00
112,26.4,2015-01-11 17:00:00
113,3.0,2015-01-11 18:00:00
114,1.1,2015-01-11 19:00:00
115,2.6,2015-01-11 20:00:00
116,3.0,2015-01-11 21:00:00
117,5.1,2015-01-11 22:00:00
118,40.1,2015-01-11 23:00:00
119,3.6,2015-01-12 00:00:00
120,2.4,2015-01-12 01:00:00
121,0.9,2015-01-12 02:00:00
122,3.0,2015-01-12 03:00:00
123,39.4,2015-01-12 04:00:00
124,81.6,2015-01-12 05:00:00
125,7.5,2015-01-12 06:00:00
126,8.8,2015-01-12 07:00:00
127,7.9,2015-01-12 08:00:00
128,5.4,2015-01-12 09:00:00
129,9.2,2015-01-12 10:00:00
130,8.4,2015-01-12 11:00:00
131,10.5,2015-01-12 12:00:00
132,22.1,2015-01-12 13:00:00
133,33.4,2015-01-12 14:00:00
134,37.1,2015-01-12 15:00:00
135,30.0,2015-01-12 16:00:00
136,13.7,2015-01-12 17:00:00
137,,2015-01-12 18:00:00
138,,2015-01-12 19:00:00
139,4.1,2015-01-12 20:00:00
140,2.8,2015-01-12 21:00:00
141,5.4,2015-01-12 22:00:00
142,3.9,2015-01-12 23:00:00
143,2.4,2015-01-13 00:00:00
0,5.1,2015-01-13 01:00:00
1,0.0,2015-01-13 02:00:00
2,1.7,2015-01-13 03:00:00
3,,2015-01-13 04:00:00
4,1.5,2015-01-13 05:00:00
5,,2015-01-13 06:00:00
6,2.1,2015-01-13 07:00:00
7,3.2,2015-01-13 08:00:00
8,9.0,2015-01-13 09:00:00
9,6.9,2015-01-13 10:00:00
10,7.1,2015-01-13 11:00:00
11,25.3,2015-01-13 12:00:00
12,45.9,2015-01-13 13:00:00
13,50.4,2015-01-13 14:00:00
14,60.0,2015-01-13 15:00:00
15,40.1,2015-01-13 16:00:00
16,25.3,2015-01-13 17:00:00
17,14.6,2015-01-13 18:00:00
18,7.1,2015-01-13 19:00:00
19,8.6,2015-01-13 20:00:00
20,10.3,2015-01-13 21:00:00
21,11.4,2015-01-13 22:00:00
22,9.6,2015-01-13 23:00:00
23,11.1,2015-01-14 00:00:00
24,11.1,2015-01-14 01:00:00
25,14.8,2015-01-14 02:00:00
26,31.7,2015-01-14 03:00:00
27,39.9,2015-01-14 04:00:00
28,42.9,2015-01-14 05:00:00
29,25.5,2015-01-14 06:00:00
30,19.1,2015-01-14 07:00:00
31,11.1,2015-01-14 08:00:00
32,8.4,2015-01-14 09:00:00
33,10.9,2015-01-14 10:00:00
34,19.3,2015-01-14 11:00:00
35,30.0,2015-01-14 12:00:00
36,41.1,2015-01-14 13:00:00
37,46.5,2015-01-14 14:00:00
38,33.6,2015-01-14 15:00:00
39,31.9,2015-01-14 16:00:00
40,33.0,2015-01-14 17:00:00
41,16.3,2015-01-14 18:00:00
42,6.9,2015-01-14 19:00:00
43,11.6,2015-01-14 20:00:00
44,9.4,2015-01-14 21:00:00
45,8.6,2015-01-14 22:00:00
46,9.4,2015-01-14 23:00:00
47,9.6,2015-01-15 00:00:00
48,8.4,2015-01-15 01:00:00
49,6.0,2015-01-15 02:00:00
50,19.3,2015-01-15 03:00:00
51,27.6,2015-01-15 04:00:00
52,16.5,2015-01-15 05:00:00
53,12.6,2015-01-15 06:00:00
54,6.6,2015-01-15 07:00:00
55,3.9,2015-01-15 08:00:00
56,7.1,2015-01-15 09:00:00
57,8.1,2015-01-15 10:00:00
58,7.9,2015-01-15 11:00:00
59,33.2,2015-01-15 12:00:00
60,65.1,2015-01-15 13:00:00
61,93.2,2015-01-15 14:00:00
62,79.3,2015-01-15 15:00:00
63,93.6,2015-01-15 16:00:00
64,59.8,2015-01-15 17:00:00
65,,2015-01-15 18:00:00
66,4.5,2015-01-15 19:00:00
67,12.6,2015-01-15 20:00:00
68,15.4,2015-01-15 21:00:00
69,15.2,2015-01-15 22:00:00
70,11.4,2015-01-15 23:00:00
71,8.6,2015-01-16 00:00:00
72,5.6,2015-01-16 01:00:00
73,3.9,2015-01-16 02:00:00
74,3.9,2015-01-16 03:00:00
75,3.6,2015-01-16 04:00:00
76,5.8,2015-01-16 05:00:00
77,4.7,2015-01-16 06:00:00
78,4.5,2015-01-16 07:00:00
79,4.3,2015-01-16 08:00:00
80,4.7,2015-01-16 09:00:00
81,,2015-01-16 10:00:00
82,,2015-01-16 11:00:00
83,,2015-01-16 12:00:00
84,70.7,2015-01-16 13:00:00
85,102.0,2015-01-16 14:00:00
86,105.0,2015-01-16 15:00:00
87,102.2,2015-01-16 16:00:00
88,84.9,2015-01-16 17:00:00
89,23.1,2015-01-16 18:00:00
90,1.3,2015-01-16 19:00:00
91,6.9,2015-01-16 20:00:00
92,11.4,2015-01-16 21:00:00
