,NO2,Date
17,154.0,2015-01-13 18:00:00
18,164.4,2015-01-13 19:00:00
19,153.9,2015-01-13 20:00:00
20,156.9,2015-01-13 21:00:00
21,158.7,2015-01-13 22:00:00
22,155.2,2015-01-13 23:00:00
23,145.9,2015-01-14 00:00:00
24,114.0,2015-01-14 01:00:00
25,88.2,2015-01-14 02:00:00
26,63.3,2015-01-14 03:00:00
27,52.0,2015-01-14 04:00:00
28,43.8,2015-01-14 05:00:00
29,69.9,2015-01-14 06:00:00
30,81.0,2015-01-14 07:00:00
31,98.4,2015-01-14 08:00:00
32,93.3,2015-01-14 09:00:00
33,90.0,2015-01-14 10:00:00
34,98.7,2015-01-14 11:00:00
35,89.5,2015-01-14 12:00:00
36,78.3,2015-01-14 13:00:00
37,116.7,2015-01-14 14:00:00
38,67.4,2015-01-14 15:00:00
39,97.7,2015-01-14 16:00:00
40,118.4,2015-01-14 17:00:00
41,132.3,2015-01-14 18:00:00
42,121.8,2015-01-14 19:00:00
43,103.0,2015-01-14 20:00:00
44,102.0,2015-01-14 21:00:00
45,108.5,2015-01-14 22:00:00
46,92.4,2015-01-14 23:00:00
47,,2015-01-15 00:00:00
48,,2015-01-15 01:00:00
49,,2015-01-15 02:00:00
50,,2015-01-15 03:00:00
51,,2015-01-15 04:00:00
52,48.3,2015-01-15 05:00:00
53,42.7,2015-01-15 06:00:00
54,56.2,2015-01-15 07:00:00
55,62.4,2015-01-15 08:00:00
56,108.5,2015-01-15 09:00:00
57,125.8,2015-01-15 10:00:00
58,82.0,2015-01-15 11:00:00
59,98.3,2015-01-15 12:00:00
60,126.0,2015-01-15 13:00:00
61,69.0,2015-01-15 14:00:00
62,69.2,2015-01-15 15:00:00
63,90.5,2015-01-15 16:00:00
64,108.5,2015-01-15 17:00:00
65,138.0,2015-01-15 18:00:00
66,129.9,2015-01-15 19:00:00
67,116.5,2015-01-15 20:00:00
68,98.8,2015-01-15 21:00:00
69,90.8,2015-01-15 22:00:00
70,80.6,2015-01-15 23:00:00
71,71.4,2015-01-16 00:00:00
72,69.2,2015-01-16 01:00:00
73,59.6,2015-01-16 02:00:00
74,55.0,2015-01-16 03:00:00
75,49.3,2015-01-16 04:00:00
76,38.7,2015-01-16 05:00:00
77,42.0,2015-01-16 06:00:00
78,52.1,2015-01-16 07:00:00
79,58.3,2015-01-16 08:00:00
80,68.4,2015-01-16 09:00:00
81,72.9,2015-01-16 10:00:00
82,104.3,2015-01-16 11:00:00
83,,2015-01-16 12:00:00
84,113.4,2015-01-16 13:00:00
85,74.9,2015-01-16 14:00:00
86,100.5,2015-01-16 15:00:00
87,74.8,2015-01-16 16:00:00
88,111.2,2015-01-16 17:00:00
89,121.0,2015-01-16 18:00:00
90,130.5,2015-01-16 19:00:00
