,CO,Date
91,5.0,2015-01-10 20:00:00
92,5.7,2015-01-10 21:00:00
93,,2015-01-10 22:00:00
94,,2015-01-10 23:00:00
95,,2015-01-11 00:00:00
96,,2015-01-11 01:00:00
97,,2015-01-11 02:00:00
98,,2015-01-11 03:00:00
99,,2015-01-11 04:00:00
100,,2015-01-11 05:00:00
101,,2015-01-11 06:00:00
102,,2015-01-11 07:00:00
103,,2015-01-11 08:00:00
104,,2015-01-11 09:00:00
105,,2015-01-11 10:00:00
106,,2015-01-11 11:00:00
107,,2015-01-11 12:00:00
108,,2015-01-11 13:00:00
109,,2015-01-11 14:00:00
110,,2015-01-11 15:00:00
111,,2015-01-11 16:00:00
112,,2015-01-11 17:00:00
113,,2015-01-11 18:00:00
114,,2015-01-11 19:00:00
115,,2015-01-11 20:00:00
116,,2015-01-11 21:00:00
117,,2015-01-11 22:00:00
118,,2015-01-11 23:00:00
119,,2015-01-12 00:00:00
120,,2015-01-12 01:00:00
121,,2015-01-12 02:00:00
122,,2015-01-12 03:00:00
123,,2015-01-12 04:00:00
124,,2015-01-12 05:00:00
125,,2015-01-12 06:00:00
126,,2015-01-12 07:00:00
127,,2015-01-12 08:00:00
128,,2015-01-12 09:00:00
129,,2015-01-12 10:00:00
130,1.4,2015-01-12 11:00:00
131,1.7,2015-01-12 12:00:00
132,1.6,2015-01-12 13:00:00
133,1.5,2015-01-12 14:00:00
134,1.8,2015-01-12 15:00:00
135,1.7,2015-01-12 16:00:00
136,1.7,2015-01-12 17:00:00
137,2.2,2015-01-12 18:00:00
138,2.6,2015-01-12 19:00:00
139,3.4,2015-01-12 20:00:00
140,,2015-01-12 21:00:00
141,,2015-01-12 22:00:00
142,,2015-01-12 23:00:00
143,,2015-01-13 00:00:00
0,,2015-01-13 01:00:00
1,,2015-01-13 02:00:00
2,,2015-01-13 03:00:00
3,,2015-01-13 04:00:00
4,,2015-01-13 05:00:00
5,,2015-01-13 06:00:00
6,,2015-01-13 07:00:00
7,,2015-01-13 08:00:00
8,,2015-01-13 09:00:00
9,,2015-01-13 10:00:00
10,,2015-01-13 11:00:00
11,,2015-01-13 12:00:00
12,,2015-01-13 13:00:00
13,,2015-01-13 14:00:00
14,,2015-01-13 15:00:00
15,,2015-01-13 16:00:00
16,,2015-01-13 17:00:00
17,,2015-01-13 18:00:00
18,,2015-01-13 19:00:00
19,,2015-01-13 20:00:00
20,,2015-01-13 21:00:00
21,,2015-01-13 22:00:00
22,,2015-01-13 23:00:00
23,,2015-01-14 00:00:00
24,,2015-01-14 01:00:00
25,,2015-01-14 02:00:00
26,,2015-01-14 03:00:00
27,,2015-01-14 04:00:00
28,,2015-01-14 05:00:00
29,,2015-01-14 06:00:00
30,,2015-01-14 07:00:00
31,,2015-01-14 08:00:00
32,,2015-01-14 09:00:00
33,2.3,2015-01-14 10:00:00
34,1.9,2015-01-14 11:00:00
35,1.7,2015-01-14 12:00:00
36,1.2,2015-01-14 13:00:00
37,1.7,2015-01-14 14:00:00
38,1.8,2015-01-14 15:00:00
39,2.4,2015-01-14 16:00:00
40,2.5,2015-01-14 17:00:00
41,2.5,2015-01-14 18:00:00
42,2.5,2015-01-14 19:00:00
43,2.5,2015-01-14 20:00:00
44,2.8,2015-01-14 21:00:00
45,,2015-01-14 22:00:00
46,,2015-01-14 23:00:00
47,,2015-01-15 00:00:00
48,,2015-01-15 01:00:00
49,,2015-01-15 02:00:00
50,,2015-01-15 03:00:00
51,,2015-01-15 04:00:00
52,,2015-01-15 05:00:00
53,,2015-01-15 06:00:00
54,,2015-01-15 07:00:00
55,,2015-01-15 08:00:00
56,,2015-01-15 09:00:00
57,3.7,2015-01-15 10:00:00
58,2.5,2015-01-15 11:00:00
59,,2015-01-15 12:00:00
60,2.9,2015-01-15 13:00:00
61,2.3,2015-01-15 14:00:00
62,2.0,2015-01-15 15:00:00
63,1.9,2015-01-15 16:00:00
64,2.0,2015-01-15 17:00:00
65,,2015-01-15 18:00:00
66,7.1,2015-01-15 19:00:00
67,8.2,2015-01-15 20:00:00
68,9.2,2015-01-15 21:00:00
69,7.8,2015-01-15 22:00:00
70,4.1,2015-01-15 23:00:00
71,,2015-01-16 00:00:00
72,1.4,2015-01-16 01:00:00
73,0.5,2015-01-16 02:00:00
74,,2015-01-16 03:00:00
75,,2015-01-16 04:00:00
76,2.7,2015-01-16 05:00:00
77,,2015-01-16 06:00:00
78,1.4,2015-01-16 07:00:00
79,1.4,2015-01-16 08:00:00
80,2.1,2015-01-16 09:00:00
81,3.5,2015-01-16 10:00:00
82,3.3,2015-01-16 11:00:00
83,,2015-01-16 12:00:00
84,2.9,2015-01-16 13:00:00
85,2.5,2015-01-16 14:00:00
86,2.0,2015-01-16 15:00:00
87,1.9,2015-01-16 16:00:00
88,1.8,2015-01-16 17:00:00
89,,2015-01-16 18:00:00
90,4.9,2015-01-16 19:00:00
91,6.8,2015-01-16 20:00:00
92,8.9,2015-01-16 21:00:00
93,3.9,2015-01-16 22:00:00
94,3.2,2015-01-16 23:00:00
95,,2015-01-17 00:00:00
96,1.7,2015-01-17 01:00:00
97,1.3,2015-01-17 02:00:00
98,0.6,2015-01-17 03:00:00
99,0.3,2015-01-17 04:00:00
100,0.2,2015-01-17 05:00:00
101,,2015-01-17 06:00:00
102,2.2,2015-01-17 07:00:00
103,1.8,2015-01-17 08:00:00
104,2.6,2015-01-17 09:00:00
105,2.5,2015-01-17 10:00:00
106,2.3,2015-01-17 11:00:00
107,,2015-01-17 12:00:00
108,1.5,2015-01-17 13:00:00
109,0.6,2015-01-17 14:00:00
110,0.7,2015-01-17 15:00:00
111,0.4,2015-01-17 16:00:00
112,0.9,2015-01-17 17:00:00
113,,2015-01-17 18:00:00
114,5.1,2015-01-17 19:00:00
115,,2015-01-17 20:00:00
116,,2015-01-17 21:00:00
117,,2015-01-17 22:00:00
118,,2015-01-17 23:00:00
119,,2015-01-18 00:00:00
120,,2015-01-18 01:00:00
121,,2015-01-18 02:00:00
122,,2015-01-18 03:00:00
123,,2015-01-18 04:00:00
124,,2015-01-18 05:00:00
125,,2015-01-18 06:00:00
126,,2015-01-18 07:00:00
127,,2015-01-18 08:00:00
128,,2015-01-18 09:00:00
129,,2015-01-18 10:00:00
130,,2015-01-18 11:00:00
131,,2015-01-18 12:00:00
132,,2015-01-18 13:00:00
133,,2015-01-18 14:00:00
134,,2015-01-18 15:00:00
135,,2015-01-18 16:00:00
136,,2015-01-18 17:00:00
137,,2015-01-18 18:00:00
138,,2015-01-18 19:00:00
139,,2015-01-18 20:00:00
140,,2015-01-18 21:00:00
141,,2015-01-18 22:00:00
142,,2015-01-18 23:00:00
143,,2015-01-19 00:00:00
0,,2015-01-19 01:00:00
1,,2015-01-19 02:00:00
2,,2015-01-19 03:00:00
3,,2015-01-19 04:00:00
4,,2015-01-19 05:00:00
5,,2015-01-19 06:00:00
6,,2015-01-19 07:00:00
7,,2015-01-19 08:00:00
8,,2015-01-19 09:00:00
9,,2015-01-19 10:00:00
10,1.9,2015-01-19 11:00:00
11,,2015-01-19 12:00:00
12,,2015-01-19 13:00:00
13,,2015-01-19 14:00:00
14,,2015-01-19 15:00:00
15,,2015-01-19 16:00:00
16,,2015-01-19 17:00:00
17,,2015-01-19 18:00:00
18,2.8,2015-01-19 19:00:00
19,1.9,2015-01-19 20:00:00
20,2.5,2015-01-19 21:00:00
21,1.7,2015-01-19 22:00:00
22,1.7,2015-01-19 23:00:00
23,,2015-01-20 00:00:00
24,1.1,2015-01-20 01:00:00
