,NO1,Date
41,,2015-01-14 18:00:00
42,,2015-01-14 19:00:00
43,1.1,2015-01-14 20:00:00
44,17.8,2015-01-14 21:00:00
45,,2015-01-14 22:00:00
46,,2015-01-14 23:00:00
47,,2015-01-15 00:00:00
48,,2015-01-15 01:00:00
49,,2015-01-15 02:00:00
50,,2015-01-15 03:00:00
51,,2015-01-15 04:00:00
52,,2015-01-15 05:00:00
53,,2015-01-15 06:00:00
54,,2015-01-15 07:00:00
55,,2015-01-15 08:00:00
56,,2015-01-15 09:00:00
57,,2015-01-15 10:00:00
58,91.0,2015-01-15 11:00:00
59,10.4,2015-01-15 12:00:00
60,14.3,2015-01-15 13:00:00
61,7.2,2015-01-15 14:00:00
62,67.3,2015-01-15 15:00:00
63,,2015-01-15 16:00:00
64,91.6,2015-01-15 17:00:00
65,,2015-01-15 18:00:00
66,143.4,2015-01-15 19:00:00
67,,2015-01-15 20:00:00
68,50.4,2015-01-15 21:00:00
69,39.5,2015-01-15 22:00:00
70,34.4,2015-01-15 23:00:00
71,2.2,2015-01-16 00:00:00
72,3.9,2015-01-16 01:00:00
73,8.2,2015-01-16 02:00:00
74,18.7,2015-01-16 03:00:00
75,9.6,2015-01-16 04:00:00
76,8.0,2015-01-16 05:00:00
77,,2015-01-16 06:00:00
78,,2015-01-16 07:00:00
79,,2015-01-16 08:00:00
80,,2015-01-16 09:00:00
81,,2015-01-16 10:00:00
82,,2015-01-16 11:00:00
83,,2015-01-16 12:00:00
84,5.7,2015-01-16 13:00:00
85,12.1,2015-01-16 14:00:00
86,33.7,2015-01-16 15:00:00
87,34.4,2015-01-16 16:00:00
88,,2015-01-16 17:00:00
89,10.3,2015-01-16 18:00:00
90,,2015-01-16 19:00:00
91,29.7,2015-01-16 20:00:00
92,53.0,2015-01-16 21:00:00
93,73.6,2015-01-16 22:00:00
94,14.3,2015-01-16 23:00:00
95,,2015-01-17 00:00:00
96,10.3,2015-01-17 01:00:00
97,10.0,2015-01-17 02:00:00
98,23.9,2015-01-17 03:00:00
99,33.6,2015-01-17 04:00:00
100,72.3,2015-01-17 05:00:00
101,39.9,2015-01-17 06:00:00
102,73.8,2015-01-17 07:00:00
103,65.8,2015-01-17 08:00:00
104,24.0,2015-01-17 09:00:00
105,101.9,2015-01-17 10:00:00
106,31.7,2015-01-17 11:00:00
107,24.0,2015-01-17 12:00:00
108,33.3,2015-01-17 13:00:00
109,26.3,2015-01-17 14:00:00
110,26.6,2015-01-17 15:00:00
111,86.0,2015-01-17 16:00:00
112,40.8,2015-01-17 17:00:00
113,94.9,2015-01-17 18:00:00
114,211.8,2015-01-17 19:00:00
115,,2015-01-17 20:00:00
116,,2015-01-17 21:00:00
117,,2015-01-17 22:00:00
118,,2015-01-17 23:00:00
119,,2015-01-18 00:00:00
120,,2015-01-18 01:00:00
121,,2015-01-18 02:00:00
122,,2015-01-18 03:00:00
123,,2015-01-18 04:00:00
124,,2015-01-18 05:00:00
125,,2015-01-18 06:00:00
126,,2015-01-18 07:00:00
127,,2015-01-18 08:00:00
128,,2015-01-18 09:00:00
129,,2015-01-18 10:00:00
130,,2015-01-18 11:00:00
131,,2015-01-18 12:00:00
132,,2015-01-18 13:00:00
133,,2015-01-18 14:00:00
134,,2015-01-18 15:00:00
135,,2015-01-18 16:00:00
136,,2015-01-18 17:00:00
137,,2015-01-18 18:00:00
138,,2015-01-18 19:00:00
139,,2015-01-18 20:00:00
140,,2015-01-18 21:00:00
141,,2015-01-18 22:00:00
142,,2015-01-18 23:00:00
143,,2015-01-19 00:00:00
0,,2015-01-19 01:00:00
1,,2015-01-19 02:00:00
2,,2015-01-19 03:00:00
3,,2015-01-19 04:00:00
4,,2015-01-19 05:00:00
5,,2015-01-19 06:00:00
6,,2015-01-19 07:00:00
7,,2015-01-19 08:00:00
8,,2015-01-19 09:00:00
9,,2015-01-19 10:00:00
10,33.3,2015-01-19 11:00:00
11,12.6,2015-01-19 12:00:00
12,,2015-01-19 13:00:00
13,,2015-01-19 14:00:00
14,,2015-01-19 15:00:00
15,,2015-01-19 16:00:00
16,,2015-01-19 17:00:00
17,,2015-01-19 18:00:00
18,15.9,2015-01-19 19:00:00
19,13.4,2015-01-19 20:00:00
20,14.1,2015-01-19 21:00:00
21,14.4,2015-01-19 22:00:00
22,23.0,2015-01-19 23:00:00
23,24.3,2015-01-20 00:00:00
24,29.1,2015-01-20 01:00:00
25,13.5,2015-01-20 02:00:00
26,18.9,2015-01-20 03:00:00
27,15.1,2015-01-20 04:00:00
28,12.2,2015-01-20 05:00:00
29,17.4,2015-01-20 06:00:00
30,19.2,2015-01-20 07:00:00
31,25.2,2015-01-20 08:00:00
32,23.9,2015-01-20 09:00:00
33,23.7,2015-01-20 10:00:00
34,19.1,2015-01-20 11:00:00
35,16.8,2015-01-20 12:00:00
36,19.0,2015-01-20 13:00:00
37,,2015-01-20 14:00:00
38,,2015-01-20 15:00:00
39,,2015-01-20 16:00:00
40,15.3,2015-01-20 17:00:00
41,12.8,2015-01-20 18:00:00
42,17.6,2015-01-20 19:00:00
43,20.7,2015-01-20 20:00:00
44,22.7,2015-01-20 21:00:00
45,,2015-01-20 22:00:00
46,,2015-01-20 23:00:00
47,,2015-01-21 00:00:00
48,,2015-01-21 01:00:00
49,,2015-01-21 02:00:00
50,,2015-01-21 03:00:00
51,,2015-01-21 04:00:00
52,,2015-01-21 05:00:00
53,,2015-01-21 06:00:00
54,,2015-01-21 07:00:00
55,,2015-01-21 08:00:00
56,24.6,2015-01-21 09:00:00
57,23.9,2015-01-21 10:00:00
58,18.3,2015-01-21 11:00:00
59,31.1,2015-01-21 12:00:00
60,24.4,2015-01-21 13:00:00
61,22.1,2015-01-21 14:00:00
62,31.0,2015-01-21 15:00:00
63,38.3,2015-01-21 16:00:00
64,31.0,2015-01-21 17:00:00
65,38.2,2015-01-21 18:00:00
66,38.9,2015-01-21 19:00:00
67,38.5,2015-01-21 20:00:00
68,39.8,2015-01-21 21:00:00
69,39.1,2015-01-21 22:00:00
70,37.8,2015-01-21 23:00:00
71,35.0,2015-01-22 00:00:00
72,40.1,2015-01-22 01:00:00
73,26.3,2015-01-22 02:00:00
74,39.4,2015-01-22 03:00:00
75,41.5,2015-01-22 04:00:00
76,55.6,2015-01-22 05:00:00
77,53.7,2015-01-22 06:00:00
78,47.7,2015-01-22 07:00:00
79,77.2,2015-01-22 08:00:00
80,76.0,2015-01-22 09:00:00
81,77.3,2015-01-22 10:00:00
82,,2015-01-22 11:00:00
83,18.3,2015-01-22 12:00:00
84,13.1,2015-01-22 13:00:00
85,29.3,2015-01-22 14:00:00
86,15.6,2015-01-22 15:00:00
87,26.9,2015-01-22 16:00:00
88,,2015-01-22 17:00:00
89,17.2,2015-01-22 18:00:00
90,28.3,2015-01-22 19:00:00
91,24.0,2015-01-22 20:00:00
92,20.7,2015-01-22 21:00:00
93,24.7,2015-01-22 22:00:00
94,28.0,2015-01-22 23:00:00
